movieId,released,title,actors,director,genres,imdbRating
1,2019-02-05,新喜剧之王,王宝强|鄂靖文|张全蛋|景如洋|张琪|袁兴哲|田启文|黄骁鹏|蔡哲睿|苗溢伦,周星驰,剧情|喜剧,5.7
2,2013-02-07,西游降魔篇,文章|舒淇|黄渤|罗志祥|李尚正|陈炳强|赵志凌|周秀娜|杨迪|释彦能|冯勉恒|谢晶晶|何文辉|唐艺昕|卢正雨|张煜雯|葛行于|张超理|程思寒,周星驰|郭子健,喜剧|奇幻|冒险,7.1
3,1999-08-05,千王之王2000,周星驰|张家辉|王晶|吴君如|林熙蕾|关秀媚|卢惠光|段伟伦|叶竞生|吴志雄|李兆基|刘以达|罗家英|胡枫|曾近荣|施念慈|苑琼丹,王晶,喜剧,6.8
4,1998-01-05,行运一条龙,周星驰|葛民辉|陈晓东|郑秀文|杨恭如|舒淇|吴孟达|李兆基|田启文|陈彦行|谷德昭|吴君如|叶竞生|王书麒|黄美棋,李力持,剧情|喜剧|爱情,6.7
5,1997-08-01,算死草,周星驰|葛民辉|莫文蔚|邱淑贞|林保怡|刘以达|黄伟文|罗家英|陈豪|张达明|李兆基,马伟豪,剧情|喜剧,6.9
6,1997-02-06,97家有喜事,周星驰|黄百鸣|吴镇宇|乔宏|伍咏薇|黎姿|吴倩莲|钟丽缇|周华健|李蕙敏|雷宇扬|罗冠兰|杨宝玲|张国荣|泰迪·罗宾|罗家英|周文健|何超仪|彭丹|江希文|朱洁仪|陈绮明,张坚庭,喜剧,7.5
7,1995-02-04,大话西游之大圣娶亲,周星驰|吴孟达|朱茵|蔡少芬|蓝洁瑛|莫文蔚|罗家英|刘镇伟|陆树铭|李健仁,刘镇伟,喜剧|爱情|奇幻|古装,9.2
8,1995-01-21,大话西游之月光宝盒,周星驰|吴孟达|罗家英|蓝洁瑛|莫文蔚|江约诚|陆树铭|刘镇伟|朱茵|李健仁,刘镇伟,喜剧|爱情|奇幻|古装,9.0
9,1993-07-29,济公,周星驰|张曼玉|吴孟达|黄秋生|梅艳芳|苑琼丹|卢海鹏|黄一飞,程小东|杜琪峰,喜剧,7.2
10,1992-01-25,家有喜事,张国荣|周星驰|张曼玉|吴君如|黄百鸣|陈淑兰|毛舜筠|李香琴|关海山|高志森|谷德昭|李丽珍|黄霑|黄光亮|何佩仪,高志森,剧情|喜剧|爱情|家庭,8.3
